,Title,Post Text,Category
618,Bubble wraps,"Hi All, i know we can ask amazon to bubble wrap our items. and they shipped our items like  , small squishy bubble wrap. with some recyclable fillable paper. it’s easily to break.now if we order from amazon other sellers other items. image.jpg673×718 199 KB  we see some packaged like the picture, with these big air bubble wrap, or air cushion, which ever you want to call them.question. 1 do we pay for these huge air cushion, big bubble wrap?2. can we ask amazon to use these huge bubble wraps, so our items are more secure?",Fulfillment By Amazon
619,Returns,"hi all,i’ve getting returnsDamaged by carrierI accidentally ordered the wrong itemFailed Delivery AttemptsRefusedunknown reasons.Unwanted itemI found better prices elsewherecan we file for some reimbursement?they don’t want it, not deliverable, we pay for the shipping to amazon.how can we get reimbursement for shipping? or stuff damage by carrier? or damage by customer?any help is appreciate thanks!",Fulfillment By Amazon
620,Dogboxden,Looking amazon help I have new patented product want to get it on amazon being mfg. in High point need someone with amazon knowledge  thanksModerator Edit (James_Amazon): Personal Information Removed,Fulfillment By Amazon
621,Customer Reviews on Damaged Products,"For FBA orders, if a customer posts a review saying the package was damaged, but did not reach out beyond that, how can we help the customer?  Is there a specific place I can submit an inquiry to Amazon on Seller Central?  I have seen a few lower ratings strictly due to damaged packaging and would like a way to request a replacement for these customers.",Fulfillment By Amazon
622,Incorrect book title inhibits searchability,"Some party selling before me has assigned incorrect titles to two of my books (I am author and publisher). Thus Amazon does not allow me to change the title. Is their any recourse. Right now, anybody searching for those titles would not find my books listed.",Fulfillment By Amazon
623,Customer Refunds of FBA Products,I sell my products via FBA.  I have had 2 customers request and granted refunds because the carrier delivered their product late.  Why am I being penalized as a seller because Amazon Prime driver delivered the product late?  Every time I email Amazon they say they say “We don’t reimburse for refunds issued by non-Amazon entities”.,Fulfillment By Amazon
624,Is there any way to get a product’s weight and dimensions checked prior to sending into FBA,"I have several items which I am ready to send into Amazon for FBA.  However, I know the weight and dimensions for calculating the fees for Amazon are not correct.    Is there any way which the items can be checked prior to sending the  inventory to Amazon?",Fulfillment By Amazon
625,FBA packaging question,"My items are listed on amazon individually, but when we send them to the FBA warehouse they will be packaged and organized by product name, is this individual or packaged base?",Fulfillment By Amazon
626,Inventory Removal - Inventory Lost in the Warehouse,"Hello all,We have requested our inventory to be removed back in March 5th, we have received a small parcel and we still haven’t received about 300 items. We have called Amazon several times, and we created a request for investigation back in April 6th, every week we received an update saying that they are looking at it; however, no real information.We tried to request for reimbursement of the missing items; however, they request a shipment id that we don’t have as they haven’t shipped the items.Has anyone had similar issue before? How did you get resolved? Also, has anyone requested reimbursement before? Did you get it? Was it fair?Thank you in advance for your help.",Fulfillment By Amazon
627,FTW1 Fort Worth Fulfillment Center Issues?,"I am always directed to send shipments to FTW1, but it has been taking a month or longer for them to process my shipments. I sent an order that arrived there on Jan 21. According to shipment events, the box was sent to Portland, Seattle, Kentucky, Tennessee, and then back to Fort Worth, where it still sits in “delivered” status 3 weeks later. After going to all those other fulfillment centers, there is still nothing added to inventory.Has anyone had any luck getting their FBA shipments directed to a different fulfillment center? I can’t plan for seasonal selling with these delays.Thanks!",Fulfillment By Amazon
628,I short shipped my LTL shipment to Amazon,"I created a shipping plan for 2,900 units (285 cases). My fulfillment partner provided inaccurate information on pallet count and weight and ended up only shipping 1 pallet (900 units/150 cases). Will this resolve itself when it is received by Amazon? Do I need to create a new shipping plan for the balance 2,000 units?",Fulfillment By Amazon
629,"Customer demanding refund, but did not make return authorization request","Hello,FBACustomer says he shipped product back.Says he has tracking confirmation, but did not provide.So I checked my Return Reports. His purchase is not on the return report.I pointed him to Amazon Customer Support.Customer ignored directions to contact support. Still demanding refund.There is no evidence he requested a return, nor returned the product. I think it’s Amazon’s responsibility to handle this.My gut is telling me not to respond again, as he will likely stonewall until I cave and provide a refund. But then I risk bad feedback or review. (Which will need to be appealed.)What would you do?",Fulfillment By Amazon
630,Amazon FBA inventory removed how do I see what happened?,I had 3 of the same products scanned in 2 went to reserve and one went for sale .I noticed someone bought one .Someone bought another one then canceled order.Right after canceling order they bought another one with different shipping option .Now 3 days later when I check Inventory for that item it shows that there are no more in stock when yesterday it still said 1 was in reserve ( Still only 2 orders made + the cancellation ) . When I check inventory received FBA it now only says 2 received when before it said 3 ? Is this a normal occurrence should I be worried ?,Fulfillment By Amazon
631,Items received - still out of stock,"Amazon has received items.  Half the quantity have been stocked and “available” for purchase, the other half is in transfer.  Item is still showing to be out of stock and is still unsellable.  Confused…",Fulfillment By Amazon
632,Error when trying to convert from FBM < FBA,image.png2420×162 29.7 KBCan someone explain to me why this wont convert?I tried looking at other posts but there were no comments available.,Fulfillment By Amazon
633,Accidentally Deleted Product Listing from FBA Inventory,"My product is in transit, and I accidentally deleted the listing from my FBA inventory (I had a duplicate and deleted the wrong one). What do I do to fix this? Thanks!",Fulfillment By Amazon
634,"Created shipment, then listing deactivated before I could ship","I need guidance on what to do here.  Created a shipment for a product Ive sold for 3 years FBA, and before I could ship it via UPS, the listing was deactivated for FDA claims that needed to be taken off.  When tending to the listing in the complete your drafts section, I was under the assumption that I needed to create a new listing and fix the issues, which all the photos were taken down for some reason, so I created a new listing with a new sku.  So how do I fix my shipment that was made before the listing was taken down, and how do I properly fix my listing?  Guess the whole $120 shipment I made before all these issues has me stumped on how to fix the listing and the shipment that was made.  Thanks for the help guys.",Fulfillment By Amazon
635,GS1 and barcode purchasing,"Totally confused. I am researching to acquire a UPC code for my product. I have read all over that you can get UPCs from a variety of places, even eBay, for a very nominal cost, a few dollars. But recommended is to go through GS1, which, as I understand it, Amazon now requires.So I am on the GS1 website reading about getting my UPC, and you have to set up a company prefix first, and know the number of products you have now, and estimate how many you may have in the future. The number of potential products affects the length of your company prefix.Anyway in the calculator estimator, I enter “100” products to leave room for the future, and it tells me the initial fee is $750, and an annual fee of $250. WTF?I then adjusted that to just my one product now, and it still says an initial fee of $250 and an annual fee os $50. WTF?Is this true? What am I missing? I don’t understand this. All the forums and articles online say that barcodes are, like a few dollars.  Someone please help me understand what the heck this is all about. Thank you!",Fulfillment By Amazon
636,Customer Report,How do I pull a FBA report that gives customer details?,Fulfillment By Amazon
637,Covid 19 slow FBA delivery,I’ve received complaints through the amazon system telling me amazon has told buyers that delivery is very slow and unacceptably slow (like 30 days )      I want to revert to fulfillment by merchant until this national situation will eventually be resolved.I switched over making an adjustment in FBA but i don’t see it reverted to fulfill by merchant yet.  How do i know when all is well (other than receiving orders) ?    I tried calling Amazon and very regretfully and surprisingly they are NOT taking calls at this time due to COVID 19 !!!Help and please advise !!!ThanksJoe,Fulfillment By Amazon
638,Pallet shipping to fba in case packs to sell individually,I am having a issue with my FBA shipment. i bought from the manufacturer 1 pallet and I sent in 70 cases of 12 units. I sent this as 840 units on one pallet so I would not have to split and seperate cases. Amazon inventoried them as 70 items and shipped full cases to multiple customers.How do we ship cases on a pallet and be sure they are opened for individual prep once received by amazon.,Fulfillment By Amazon
639,2 boxes of books,I need to know how to start,Fulfillment By Amazon
640,"$15,000 of Inventory lost in Amazon FBA warehouse and no Reimbursement?","Good Afternoon All,Amazon have recently lost $15,000 of our inventory. I have proof of delivery from UPS themselves and also the boxes are shown as delivered in the FBA Shipments page. I tried to reconcile the stock and 4 of the product lines give the below message.Investigation Completed - shipment contents counted and confirmedI then put in a ticket with Amazon assuming this would be simple to rectify given the fact I have the proof of delivery on the items but was told there was nothing they could do as they have investigated and cannot find the inventory. Below is there response.Hello from Amazon Selling Partner Support,I understand that you requested to re-investigate the missing units on Shipment ID: FBA15KMDKJNS.When we receive shipments with quantity discrepancies, we automatically initiate an investigation on your behalf for the items in your shipment.As part of this investigation, we perform a second, physical count to reconfirm the quantity of the items received. Items are marked “Investigation Completed – shipment contents counted and confirmed” when we have completed the investigation.We have completed an additional check in response to your request. We have no record of receiving the units in question.To help us continually improve, we ask that you take a moment to complete our survey below to tell us about your experience with this specific interaction.Were you satisfied with the support provided?Has anybody else come across this problem before and if so could you please pass over any advice on how we can rectify this issue.Thanks",Fulfillment By Amazon
641,Amazon charge me 5.42USD for very small size products,"And the fba shiping price way up from 2.5 to 3.31 and now to 5.42,I open a case to report the problem,and amazon tells me that it’s even bigger,and no real human test it .So what should i do? this fake fba shipping fee is kiling my profit.",Fulfillment By Amazon
642,Shipping Containers to FBA from China,We currently are shipping LTL weekly into FBA from our US warehouse.  We are wanting to ship full container loads directly from China to FBA.  Does anyone know the steps to take?  Is it the same process? I’m concerned that Amazon will break apart the container and try to send it to multiple warehouses?  Any help will be appreciated!!,Fulfillment By Amazon
643,FBA Shipment Delivered Delayed Check in,"Hi, are there any other seller experiencing delay in Checking in of Shipped FBA Inventory? We’ve sent it last May 21st and we’ve sent to four different fulfillment center. The three were already received. However, the last one which was the biggest shipment has not yet been received. Is it because of the location of the Fulfillment Center? I am just worried that we already amped up our ad spending because the other shipments were already received but this last shipment haven’t been checked in so it’s greatly affecting our sales. Thanks for any input!",Fulfillment By Amazon
644,Are there FCs that accept products from multiple tiers?,"It seems like some FCs only accept products from a particular product tier/type (standard-size, oversize, small & light, etc).However, might there be FCs that accept products from multiple tiers?I have a list of 177 FCs that exist in the US. But I would like to also understand which tier of product each FC accepts. Has anyone come across such a list?Thanks!",Fulfillment By Amazon
645,FBA removal/disposal fees,"Hi all,So back when the new removal/disposal fees were announced I assumed it was a typo that it costs the same to have Amazon “dispose” (aka sell to liquidators while charging us) or recall the item but now it says it in the help files. Has anyone tried a disposal and gotten charged the same as a return? Just seems crazy to me that they would do that.",Fulfillment By Amazon
646,Am i able to send in FBA inventory now?,Im using inventorylab to upload my inventory to amazon. I was selling books when i started and other random things in toy category. I just want to know a real answer can i send in products now or what? this is driving me crazy. I have noticed the buy boxes switch to favor more prime now so thats why im wondering. did i miss something?,Fulfillment By Amazon
647,Who sent FBA and fulfill returned your shipment?,"Hi, friendsI got the email from DHL express told me…FBA Not More Needed. <<Who sent FBA and fulfill returned your shipment ?I opened case with Amz but 5 days … still not respond me.I askedWhy your fulfill Do not accept this shipment?If the fulfill have any problem Why when I create shipment the fulfill have in choice to send every time ???.And last … the MAY I sent 3 shipment to the fulfill!!! and all still SHIPPED but in DHL system them DELIVERED.thank you",Fulfillment By Amazon
648,"New seller, don’t know how to get product in warehouse","should the supplier of the product handle sending the products to the fba warehouse? or do i have to handle sending the products once i complete purchase of order? when i add a new product to my inventory, do i get the product id and other information from the supplier?",Fulfillment By Amazon
649,Sending FTL shipment with pallets from another shipment ID,"We send a full truckload to FBA every Friday. This past Friday ended up being 30 pallets instead of 28 so we had to hold two pallets back however the shipment was uneditable as it was already in shipped status. Would you ship these pallets this Friday with the previous trucks shipping ID or would you relabel the boxes and pallets with the new shipping ID and reconcile the shipment in 45 days saying you didn’t ship the items?There is no guidance in Amazon God for this scenario and we ship multiple shipping IDs on our trucks often, however this is a shipping ID that will technically not have an appointment (as the appointment was the week before). Im near certain Amazon will accept the pallets with the old ID however there has to be a scenario that has happened before and I’m sure there is some sort of guidance.Any advice would be helpful.Thank you",Fulfillment By Amazon
650,Should I disable vacation mode to update inventory,"As I run out of stock, I set my seller account to Vacation mode.I sent a new shipment … The status is Delivered. The question is : Should I disable the vacation mode ( enable account ) to make amazon update my inventory or they will do it while on Vacation ?thanks",Fulfillment By Amazon
651,Medical supplies and equipment approval,They are telling me that any information applied to product packaging must not be easily removable. I have my Company name and address SCREEN PRINTED onto my boxes and it is not being approved because it cannot be easily removable they’re telling me. Has anyone had category approval issues of this sort that can help me? They’re not telling me exactly what I need as far exactly what information it needs to be and are not telling me how screen sprinted is easily removable? If being printed on the box is not good enough what do I need to do?,Fulfillment By Amazon
652,Stranded Inventory,I recently listed 100 books for sale on Amazon. 23 of those books went to Stranded Inventory and,Fulfillment By Amazon
653,Sent wrong items to Amazon FBA,"Hi everyone,I shipped my items to Amazon 2 days ago and now I realize I sent the wrong items to them (single items instead of bundle).I just canceled my shipment on Amazon and don’t know what to do to get those items back to me.Can anyone help me with this please!Thank you very much!",Fulfillment By Amazon
654,Calculate to Print labels to ship box into FBA not working?,I am preparing stuff to go into Amazon for FBA.  There seems to be some sort of glitch suddenly.  Earlier this afternoon I did manage to print labels and complete two shipments.But now I’m trying and I click calculate and I get the spin thing for a moment then button pops back up like nothing happened.Earlier I did have an odd error as I entered the box size and weight it told me there were errors but wouldn’t say what.  So I closed the browser and then logged back in and when I came back to the shipment it seemed ok so I tried to calculate the shipping and it just keeps popping back up with no calculation?I suppose I can come back to it tomorrow since nothing is shipping out till Tuesday anyway…Anyone else seeing this issue?,Fulfillment By Amazon
655,Amazon Cubiscan Error,"I have a product with 4 variations, one of the variations is being charged a higher fba fee because the weight is measured incorrectly. the product is 90 grams but amazon measured it as 205grams. I requested amazon to re-measure my product, and the result is unchanged. i have the physical product with me and it is 90 grams. has anyone encountered a measurement mistake with amazons cubiscan machine?",Fulfillment By Amazon
656,"Refund Applied, Can I find out WHY?",I’ve had a few orders pop up as Refund applied.  Is there any way for me to find out WHY the refund was applied?  Am I going to get the product back or do they just take money back and leave me with only questions?,Fulfillment By Amazon
657,Sales Tax question,Do you use TaxJar or another plugin? What do you like or not like about them?I’m looking at Avalara or TaxJar as they will handle sales tax in all states that you have products in at the FC’s. (I didn’t know that created a nexus in that state. Whoops),Fulfillment By Amazon
658,Inventory checked in under wrong shipment ID somehow,"I don’t even know how this happens but I wanted to see if anyone had the same issue.  I have 2 shipping plans for the same ASIN, one of 400 units and the other 600 units.  400 unit shipping plan created 5/4 and all units delivered on 5/11.  Most were checked in except about 20-40 units.  I created the 600 unit shipping plan on 5/20 and it was shipped via sea 2 days ago (so no way the wrong labels were applied or that those units are there yet).  Somehow Amazon is checking in the last 20 or so units under the new shipment ID and I’m not sure how that’s possible.  I can fast forward to this being another inventory reconciliation debacle - has this happened to anyone?  I reached out to the awesome seller support team and of course got a precanned “its your fault probably and wait till inventory reconciliation is available” response.  Trying to see if there’s anything they can do before then so I don’t get 2 shipments flagged incorrectly for issues.",Fulfillment By Amazon
659,FBA selling plan help!,"I got the free plan of amazon FBA, i realized i no longer want FBA before i start selling and only want to use FBM, how do i downgrade my account selling plan? Or atleast how do i change it so i no longer have FBA?",Fulfillment By Amazon
660,Feedback removal what a joke!,"lately the feedback removal system is total useless they dont even read your repley ,i take my time to show that the feedback was fba problem and they say the same caned reply. i would not bother but i work hard to keep good ratings and they just dont care ,here is the latest .these were all fba.1 rated ,Unable to receive a package shipped by UPS. Cannot pick it up at a holding location. I assume it will be returned. I forgot to put on the order that the package should be shipped U.S. mail as UPS cannot get in our building gate unless someone is home to let them in. Very sorry I can’t get delivery.3 rated  Recipient reports that the gift message was missing from the package. She correctly guessed that I was the giver, but what is the use of going through the time and trouble to compose a lovely note if the seller is going to ignore it?2 rated  The order was not completely filled, was missing part of it, the female signi only sold her a bottle of lotion .this is getting hard to do business when amazon dose not do the right thing.",Fulfillment By Amazon
661,MDW2 Delay,"Hi there, I have around 2 pallets worth of inventory delivered to MDW2 but still waiting them to check-in for about a week and a half. I have never experienced this for almost two years now. Any ideas?",Fulfillment By Amazon
662,Will reconcile became eligible without receiving?,One of my FBA shipment delivered but never checked in and receiving .After a long time spending for contact seller support and get the same copy / paste answer to wait until recocil button became eligible with condition “The date that your shipment becomes eligible for investigation will be shown after your boxes have been checked in.”I’ve research in this forum and found a lot of same case but no one mention aboutWill reconcile became eligible without receiving?,Fulfillment By Amazon
663,Stranded Inventory,I recently listed 100 books for sale on Amazon. 23 of those books went to Stranded Inventory and,Fulfillment By Amazon
664,Meltable Removal Delayed past May 15,"Hey All,I started a removal order placed back in March for a bunch of chocolate that was sitting in FBA. This was well within the 30 business day SLA before May 15. Now, May 15 (the meltables deadline) has passed and my units have not been shipped back to me. The Removal order detail shows the units haven’t been shipped and all the support cases I’ve opened have led to canned response about COVID-related delays and to continue to wait.I consider them to be unsellable/damaged at this point. What options do I have to get reimbursed?Any insight would be greatly appreciated.Thanks!",Fulfillment By Amazon
665,FBA vs FBM sales,"Since Amazon started having 20-30 day delivery times for FBAs, our FBM listings now get the buy box since they ship next-day. And, surprisingly, our sales are about 50% over what we normally see this time of year.Now, I’m not sure if it’s because so many people are home and bored and shopping. It seems like people would be watching discretionary spending a lot more closely. To say our products are frivolous and non-essential would be an understatement.This has me wondering if FBA is really worth the trouble.Just curious, is anyone else seeing this kind of move to FBM listings and a sales increase? What about you FBA-only people? How badly, if at all, are you being hurt by the long shipment times?",Fulfillment By Amazon
666,Removal Order Pending,"Hi,I have a removal order which has status of 3 units delivered, 1 unit canceled and 6 units pending. Currently I closed the listing because of mislabeled of units and did not want to send wrong item to customer and get a bad review. Will those 6 pending units be available for customers if I re-open the listing? Seller support told me that those 6 units would not be available for customer to buy, but the answer did not give me confidence. Can anyone confirm it?Thanks!",Fulfillment By Amazon
667,Inventory then manage inventory,"![IMG_2732|483x500](upload://t5pcazpMmOcxkWmQIrz4AHy3tjT.jpeIMG_2732.jpg2906×3005 3.4 MB g)Always, when adding an item to be sold, I went to Inventory then to Add a Product.I used to be able to see the Estimated Fee Per Unit Sold written in blue ink. Now I cannot.I went to Settings, then Shipping Settings, trying to fix the problem. Here, under Default Templates it said:   “Migrated Template”. I changed that to Standard. Now, under Price and Shipping it says Standard and I still don’t see the Estimated Fee Per Unit Sold information.I don’t understand why the page information is not like it always was.  What has changed?I used to be able to ship via FBA and offer no shipping fee for Prime Members.  Can I still do this under Standard Shipping?Also, am I paying more to ship to Amazon centers?Can someone PLEASE explain to me what is going on???Thank you.",Fulfillment By Amazon
668,FBA Shipment Lost by UPS Claim Process,I used UPS through Amazon to send a shipment to one of the fulfillment centers and its been over a month and the UPS tracking is showing the In-transit status.I have contacted seller support multiple time and they have been of no help at all. Seller support keeps on telling me to look at the target reconcile date when there is none since the shipment has not been delivered.Has anyone experienced such a scenario and how were you able to get a trace initiated or a claim filed?Thanks!,Fulfillment By Amazon
669,Amazon keeps losing my inventory and refuses to pay,"Hello,Amazon keeps losing our inventory, it has happened 2 times in 1 month now. They claim they have received less units than what was stated on shipment and refuse to admit their mistake. We are not talking about 1 or 2 units missing but 100s. Sometimes whole SKUs are missing. We know we have sent them entire inventory and I can understand occasional misplacement but this has happened 2 times in a month and has cost us thousands. What can we do to make Amazon reimburse us for the loss?Thanks",Fulfillment By Amazon
670,Wrong Shipping Measurements,"When I was going through the shipping process, I measured the box I was mailing them in instead of the units.  Can anyone tell me how to change those measurements?",Fulfillment By Amazon
671,Prep Packaging for FBA,"I sell liquids.  The handling and transfers of my product too often ruin the product and the customer, rightfully, returns it.  I see how Amazon ships me the returns and hear from friends about the condition the product arrived in.  I want to ship these items to amazon, packed in my own mailing box.  All Amazon would have to do is put a label on it and ship to the buyer.  All liquids I sell need to be in a bag with a suffocation warning on it.  Can I put the bottle with the liquid inside the bag; put bag and bottle inside the box; and put the FNSKU label on an end panel of the mailing box?  Would FBA object?",Fulfillment By Amazon
672,Two Variations-Identical UPC numbers,I just noticed I have listed two variations of a shirt size with identical UPC numbers.  The correct size and UPC has inventory in FBA while the incorrect size with the identical UPC number has no inventory associated with it.How can I fix the UPC with the correct size with out getting the inventory all mess up?,Fulfillment By Amazon
673,LTL shipping,Hi it the first time i am using amazon partner carriers to ship LTLi choose it on the shipment page and approved the prices. scheduled a pickup date to 26.5.2020no contact person details or phone number was asked nor given and i see now it is scheduled to 26.5.2020 3 am UTC which is 23:00 pmi don’t think the warehouse where the goods are is open at those hoursdoes anyone has experience with this?,Fulfillment By Amazon
674,"If my manufacturer is making a custom box for my product, should I insist that they include a bar code, or GTIN?",I would like to avoid having to affix labels to each of my products with a GTIN (UPC or barcode).  Will the manufacturer of my product do it for me if they are creating a custom box?,Fulfillment By Amazon
675,First FBA shipment since pandemic,"Now that we’re living under “pandemic” rules, can I ship anything to FBA fulfillment.Will I be alerted while making an FBA shipment?I don’t want to ship stuff in and have Amazon tell me they can’t take this or that right now and have to deal with returning items or whatever.Can I just start an FBA shipment and the system will take care of everything?",Fulfillment By Amazon
676,2 different supplier,"Hi everyone , Brand new seller here . I have one product and ı want to sell but ı also want to add the same listing another product which one of ‘Amazon’s Frequently bought together’ . But The problem They are two different suppliers so how do we merge them together. Because ı want to sell them together.So the questioncan  ı make my both suppliers to ship to amazon seperately? or how? Who shoul take care of it?thanks",Fulfillment By Amazon
677,"FBA Shipment Showing in Receiving, Hasn’t left the warehouse yet?","Hi All,So I have a strange thing happening with my LTL shipments to Amazon. We created a shipping plan last week and shipped it out to PHX7. That shipment was scheduled for delivery today and arrived today. Since that shipment left, we have created and shipped out another shipment which was also marked to ship to PHX7. However, when I got the notification tonight that the shipment had arrived and was being checked in, I was shocked to realize that both shipments show to be at the checking in stage at the Amazon warehouse. I know that there can not be a mixup due to one arriving before the other, because the second shipment is still sitting in my warehouse, and will not leave until next week. My only thought would be to sit tight and see what happens, but I would like to know if anyone has experienced this before.",Fulfillment By Amazon
678,What does this error message mean NEW-PEP-SER-NF,Trying to send inventory to Amazon and keep getting this error message. Please advise.,Fulfillment By Amazon
679,Editing shipping carrier for a shipment plan equals changing labels?,I intially put UPS for my shipment that is now shipped by DHL. I haven’t marked the plan as “shipped” so it seems I can still change the carrier. Would that be risky though and would it require me to reprint the labels? I obviously can’t change the labels as the order have been sent already,Fulfillment By Amazon
680,Missing Units Added to Shipment from a Year Ago,"I recently sent my first pallet of product into Amazon, 4 SKUs about 700 units total. 1 had the correct count, 2 SKUs were over by 1-2 items, and the last SKU was short over 50 units.I waited until I could finally reconcile and sent in a copy of my invoice showing how many units I purchased and another invoice showing those same number of units prepped by my 3PL.Today Amazon responded and said they found the missing 52 units and added them to another shipment with that same SKU from a year ago. Has this happened to anyone else before? I don’t understand why they wouldn’t just add them to the shipment that they’re missing from. It’s obvious I have not had 52 units that were delivered a year ago just sitting around and miraculously sent in 52 less in this pallet despite all evidence to the contrary.",Fulfillment By Amazon
681,Amazon FBA inventory did not get checked in,"My shipment was already delivered to Joliet on 12/5 but until now it still hasnt got checked in. Meanwhile my shipment sent to the same warehouse a few weeks ago got checked in the same day. I am really worried because my product is already out of stock for days and my competitor on buy box is selling so well since i go out of stock. Is anyone experiencing this? Also, does the fact that i go out of stock affects my chance of winning the buy box when i am back in stock?",Fulfillment By Amazon
682,Should we be getting FBA Shipping Inquiries?,"I’m new around these parts, so forgive me if I should know the answer already but…I am getting shipping inquiries “Where’s my item??”  from FBA customers.  How do you guys handle these?  Seems this should be going to Amazon and not me.  Amazon refuses to give me enough information to do more than purely speculate (am I missing something??).  If Amazon provided me the tracking number, I think I might be able to add SOMETHING.  But at this moment, I am left with “Uhhhh VIRUS” as the answer to everything.What I WANT to write is ""Hell, I don’t know.  Why are you asking ME, I pay Amazon to ship this $%^ out and THEY should be spending customer support time to field your question.  Not sure WHY I am getting your message.  Hell, I don’t even have your tracking number!  Wondering what I am paying them for if they can’t fulfill their end of the deal.Yea, feeling like writing that, but Amazon "" officials 'have six ways from Sunday at getting back at you """,Fulfillment By Amazon
683,Shipment wrongly changed to Receiving,"Happened to me multiple times in the past few months.A shipment that I have not even shipped out will be marked as Receiving, with a few units “received”.Each time I have to notify Seller Support, and they will say the fulfillment center made a mistake, and change the shipment status back to Working.I don’t get how this happens. How does the fulfillment center magically “receive” these few units, when I have not even shipped anything.Has anyone experienced anything similar?",Fulfillment By Amazon
684,How do I change to smaller packaging dimensions for a new shipment of an existing product?,"My current inventory of bags (1 ASIN) is a “Small Oversize” product size tier.My new replenishment shipment will be coming soon and my supplier was actually able to reconfigure the packaging on this new order of bags (by folding the bags in half within their smaller poly bag) so that they will now be a “Large Standard-Size”.I am ready to officially replenish with a new shipment plan within FBA but it will not let me put in the new smaller dimensions.  Is there a way to do this or do I have to request a cubiscan after it arrives at the warehouse and get reimbursed then?  Also, do I need to wait until all of my current “Small Oversize” inventory is depleted so as not to mix the larger and smaller packaging?Thanks in advance for any help and suggestions!",Fulfillment By Amazon
685,FBA inventory issue turns into 3pack of items for sale,"I recently sent in some products sold individually via FBA, on the website that is viewed publicly it now says for the same price sold as 3pack? I have no idea how this happened but how do I get it fixed so its sold individually??",Fulfillment By Amazon
686,Description text under fnsku barcode?,Is the description text under the fnsku barcode required if I’m having my designer integrate the barcode into the artwork for Custom packaging? Any help would be greatly appreciated. Thank you!,Fulfillment By Amazon
687,FBA Disposal I did not set up,I just noticed an order for 7 units of something.  Thinking…cool…I look closer and notice it’s non-Amazon.Somebody set up my inventory to be disposed of and I have no idea why.  Has anybody had this happen where product just magically gets added to a disposal order?Confused and angry.  Between this and products that were “deleted” that I never deleted from FBA it has been a frustrating few days.,Fulfillment By Amazon
688,Shipping labels,"I have some inventory ready to be shipped from the supplier, but he has just notified me that inside the big carton he has put inner boxes that contain the final product - it’s a safety measure. So, I have a big carton that contains 60 products, but these 60 products are also packed in 6 inner boxes. My question is: if I have labeled the big carton with my SC generated shipment labels, do I also need to label the smaller inner boxes? Right now, the inner boxes have no information on them.Thank you and I appreciate your help!",Fulfillment By Amazon
689,About leather belt & FBA,"Hello everyone, I have a question about leather belts products. I am manufacturer, and I want start selling on Amazon through FBA service, but I have some questions:Do leather belts must have suffocation warning bags?In my case, leather products, how do I know which GTIN/UPC is fit for my products category?I read that I need barcode to put on a single product, but I didn’t understand which barcode is it. Also, is that something I need to do, or the delivery company can do it for me?Thank you for your answers.",Fulfillment By Amazon
690,Cancelled items,"Hi, I am sorry if this question asked before.I have some canceled items in my account(FBA). It has been four a couple of months I don`t see them in my inventory(active or inactive none of them) or in my amazon account. What could happen to them? What should I do for them to get back?Thanks.",Fulfillment By Amazon
691,Lost FBA Inventory when Transferring from One FC to Another,"My freight forwarder made the mistake of shipping my inventory to the wrong Dallas FC (UTX 4 when it should have been FTW1). I opened up cases to see what my appropriate course of action should be, and they reassured me that they have an internal process to handle mis-shipments and that it would be transferred to the appropriate location with delays in processing. An Amazon Seller Support agent confirmed that it was set to be transferred to FTW1 by 3/11/20. It still hasn’t been received. I can’t reconcile the shipment because it was never checked in. I opened up another case, with an attachment of the transfer confirmation, asking to investigate the lost inventory. Nearly 2 weeks have passed without a response. Does anyone have any advice for how I should best handle this?",Fulfillment By Amazon
692,Best Resources to Learn FBM Options?,"Exploring doing some selling from external website and comparing the Amazon Multi Channel Fulfillment pricing with USPS shipping, US domestic. Small items, think package 8 x 11 x .75"", 6 ounces.Apart from scouring the USPS website as I am doing, did you find other valuable resources to make good comparisons - either well written guides or companies you recommend or any info you could throw into the mix so I am able to make a good decision?Thanks so much for your time!",Fulfillment By Amazon
693,"Lost or Missing items on FBA warehouse in Moreno Valley, CA ONT8","whenever I send my inventory to Moreno Valley, CA ONT8 warehouse my items getting lost.here how they work, first they receive them partially until it show in the system that the full qty of what you send and after a week they start to move some to other facilities. on this procedure if you have high end and good items some will be disappears and your inventory will be adjusted by insiders and you cannot get back anything or prove. I complained to seller support they are not really helping they are more like machine in human body. after complain they are telling me that you did not send the qty that you supposed to send. bacillary there is a team inside that they are doing this professionally for many years.is anyone knows how to deal with this kind of cases? is there any management email or higher level of support contact?",Fulfillment By Amazon
694,Different Delivery Dates,"One ASIN that I sell FBA Prime has 2 other FBA Prime sellers. In the listing where it lists the available sellers, it shows 3 different shipping types.[Fulfillment by Amazon ]Want it delivered Wednesday, May 27? Choose Standard Shipping at checkout. [See details] [Shipping rates] and [return policy][Fulfillment by Amazon ]Want it delivered Thursday, May 21? Order it in the next 22 hours and 10 minutes, and choose Two-Day Shipping at checkout. [See details] [Shipping rates][Fulfillment by Amazon ]Want it delivered Wednesday, May 20? Order it in the next 5 hours and 24 minutes, and choose Two-Day Shipping at checkout. [See details] [Shipping rates]All 3 have the same selling price. Being as they are all FBA and all Prime, why is there such a difference in the delivery dates?  I realize that the pandemic has created delays, but shouldn’t the delays be the same for the same ASIN in the same sales channel?",Fulfillment By Amazon
