Title,Category,Sub-category,Post Text,URL
Cant find my product,Amazon Custom,Amazon Custom Forum,im not finding my products when i search for them. They have just arrived and are availlibe on Amazon. But when i search i cant find them ( shipment ID (FBA15GB31KM1) am i missing some key-words or have i done somthing wrong?,https://sellercentral.amazon.com/forums/t/cant-find-my-product/468721
"Sold customized product, customer not happy with image size the way HE configured it!",Amazon Custom,Amazon Custom Forum,"I sold two items to a customer that are customizable items, where the customer can upload an image and they can configure the size and placement on the surface of the item themselves prior to submitting the order. In my listing, I show a few different examples where the image may take up most of the surface of the item, and some examples where based on the dimensions of the image, it is placed in an area on the item that does not take up the full surface. My listing clearly states that the image will be placed on the full surface of the item “as image size permits”, but for smaller images it will be placed on the lower surface. Both images that the customer uploaded had dimensions that prevented the full surface from being taken up by the image. The reason is because if I ignored the way the customer configured it himself and made the image larger to fill the full surface area, the left and right sides would have been cropped out. Therefore, in order to maintain the proper proportions of the image, it was sized to include the full image, which did not take up the full surface. The customer even configured it this way before he submitted the order, so not sure how he thought I was supposed to work some kind of magic to make it fill the entire surface without cutting out a good portion from the left and right sides. He submits a return request “wrong item sent” (of course) because he wasn’t happy that the image didn’t take up the full surface, and I politely responded and explained everything that I basically said here. I then ended off by telling him that if he still wishes to return them, he will be responsible for the return shipping and subject to a 50% restocking fee, since the item cannot be resold. This is the first time I have had to deal with a customer wanting to return a customizable item. I was curious if the same return policy still applies, or if a seller is not obligated to accept the return because the item is basically useless to the seller, since it was customized by the customer with his personal images? Also in this case, the customer was aware of the sizing and placement of the image on the surface since he placed it that way himself, and I basically replicated exactly what he did. Therefore, the product was produced to the exact specs that the customer provided. Seems unfair that I should get stuck with this. Just curious to know if I dealt with this correctly, or was there some other option available to my benefit?",https://sellercentral.amazon.com/forums/t/sold-customized-product-customer-not-happy-with-image-size-the-way-he-configured-it/467760
Will this hurt my metrics?,Amazon Custom,Amazon Custom Forum,"Hello! A buyer purchased one of our items but failed to give the information needed to complete the order, it is handmade and customized. I have sent 4 emails asking for the additional information but he has not responded. Now, I need to cancel the order because I can’t send it without knowing what he wants in it. But in the drop-down menu, I don’t see where I can cancel for insufficient information. Do I pick buyer canceled or what??! Today is the last day that I can send it. Any suggestions? TIA",https://sellercentral.amazon.com/forums/t/will-this-hurt-my-metrics/447255
Creating Custom Product Question,Amazon Custom,Amazon Custom Forum,"Hi, I am brand new. I have a Handmade account. I created a coffee mug that a customer can add their own photo and/or custom words to. It is specific to Medical Coders. One side has a Medical Coder saying and the other is for them to customize. If I create the product as a Handmade Product it does not give me the ability to allow the customizations. If I add the product to the Marketplace it will allow the cusomizations but does not give me the Buy Box. Am I missing something?",https://sellercentral.amazon.com/forums/t/creating-custom-product-question/464214
Custom Product with an Image + Text,Amazon Custom,Amazon Custom,"I am creating a listing for a custom backpack where customers can add their name+number. We also have a gallery of stock images we can stitch into the backpack. On the Amazon custom feature however, the customer can only choose text or the picture, not both. Is there a way where we can achieve both custom options. The ideal customization is in the image below",https://sellercentral.amazon.com/forums/t/custom-product-with-an-image-text/442054
Amazon Custom Listings Not Adding To Cart,Amazon Custom,Amazon Custom,"I have the customization data set up for our products and Amazon is showing the “Customize Now” popup. But when our customers try to add it to cart, they end up on the cart screen and it says “Your Shopping Cart is empty.” We get calls from customers daily about not being able to add our products to their cart. Anyone here experience this problem? Example Listing: https://www.amazon.com/gp/product/B07CM8P27W 10",https://sellercentral.amazon.com/forums/t/amazon-custom-listings-not-adding-to-cart/462219
How to add Videos to Custom products,Amazon Custom,Amazon Custom,"Appreciate, if some can guide me for adding videos to my custom product listing. Here is my listing ! My Custom Listing 14 Thanks.",https://sellercentral.amazon.com/forums/t/how-to-add-videos-to-custom-products/460114
Seller performance violation from custom ASIN’s,Amazon Custom,Amazon Custom Forum,"Amazon has determined I am in violation of ASIN policies because they think I am listing the same item 3 times the first item is blank the second item is with an embroidered name the third item is with an embroidered Monogram Why would this happen? I really could use customs help as i see this a big problem for custom sellers I have appealed, but no response yet",https://sellercentral.amazon.com/forums/t/seller-performance-violation-from-custom-asins/441349
"Customer Blamed Me for own Typo, Left 1 Star Review- Any Recourse?",Amazon Custom,Amazon Custom Forum,"I made a custom item exactly per the information supplied by a customer. They have a unique name that I have never seen before, but I made the tag per the information I was given. Later in a message to me they told the that their name was spelled wrong but also confirmed the spelling on the actual physical item matched what they had entered into the order. I am a pretty new seller and didn’t want to risk a negative experience so I offered to remake the item, but was never actually told the correct correct spelling. After 3 follow up emails asking for the correct spelling I gave up. Fast forward and I now have a 1 star review claiming I made a typo. This is obviously false, and can be easily proven by looking at the order info and our messages, but what recourse do I have?? I have tried again to contact the customer, but it looks like they are not accepting emails from Amazon sellers now.",https://sellercentral.amazon.com/forums/t/customer-blamed-me-for-own-typo-left-1-star-review-any-recourse/457916
Customization Preview Approval,Amazon Custom,Amazon Custom,"We have been selling on Amazon custom items over 2 years or more It will be so great to add a function at the customization tool that customers can not add the item to their cart without seeing the preview of it, Most customers using mobile phone and they do not see the customization preview without clicking the preview button or swiping up. We have customers they place their image way off the customization area and add text going over the customization area because they cant see the preview as they upload on mobile, and they dont care to see how it look , but when we send them a message to notify them there is an issue with their customization , no response as always (maybe %10 of the customers response and it will take forever them to respond). So please add a function that when they are customizing the item once they click on the add to cart, a preview of item should be shown to customer with a required box to click where they approve the preview/spelling/non copyright etc This will avoid issues with placement, spelling and copyrighted materials that customer upload",https://sellercentral.amazon.com/forums/t/customization-preview-approval/455991
Options,Amazon Custom,Amazon Custom Forum,We are selling a popular item and customizing the item with embroidery. We offer as an option the opportunity to add a companion product (think baby blanket and matching rattle). Amazon says you can not bundle items that do not further customize the item. (think cell phone case and add extra charger cords). We want to add highly relevant options like the matching rattle and maybe matching knit baby hat. Is this or is this not “further customizing the item”?,https://sellercentral.amazon.com/forums/t/options/456875
How do I provide a gallery of images to customize?,Amazon Custom,Amazon Custom Forum,I’d like to create a product with a hundred or so images that the customer can choose from. I know there’s a way to create a gallery of images for the customer to look at when customizing. Where do I find instructions for how to do this? Both creating the gallery and enabling it for the product.,https://sellercentral.amazon.com/forums/t/how-do-i-provide-a-gallery-of-images-to-customize/454128
Personalized Product Process,Amazon Custom,Amazon Custom,"My company does personalized stationery on Amazon currently, but the customer has to submit their information and our design team creates a proof. I would like to hook the customer up with on screen personalization. A couple of questions come to mind: When a customer customizes a item and purchases it, is there a print file that is generated or do we only get the details in which we have to manually recreate what the customer wants? Am I required to use Amazon’s on screen personalization tool or can I redirect the “Customize” button to a personalization tool we already use for other selling methods? We are selling invitations, announcements, and wedding stationery which are not a square. Some are 8.5"" x 5.5"" portrait orientation and some are 5.5"" x 8.5"" landscape. Can we render the image the customer see during the customization process to reflect that?",https://sellercentral.amazon.com/forums/t/personalized-product-process/454099
Amazon Custom Text Feed,Amazon Custom,Amazon Custom,"When I uploaded my Amazon Custom Text Feed for customization on all products the batch came back with every product in error. All of the errors were easily seen and I was able to do the corrections needed, except for one error. There is a template column for a “CUSTOM FONT URL” . In other words, if you have a custom font you must submit a url for that font that is hosted on an http:// website address. IT IS ABSOLUTELY IMPOSSIBLE! As far as I know, THAT DOES NOT EXIST! After getting a call from support, I was told that they absolutely had to have that url so I asked if they could please send me to the website where I could acquire such information to submit, I was told that they could not give me that information. Does anyone out there have any information on this so that I can get my products uploaded for the proper customization???",https://sellercentral.amazon.com/forums/t/amazon-custom-text-feed/421383
Custom B2B,Amazon Custom,Amazon Custom Forum,Hi is anyone using custom for B2B?,https://sellercentral.amazon.com/forums/t/custom-b2b/448849
Custom Products and Buy Box… Frustrated Beyond Belief,Amazon Custom,Amazon Custom Forum,"Hello! I am a new seller and trying to navigate the murky waters of selling on Amazon. I have a customized product that is 100% unique. Yet, my listing shows as if there other sellers selling it. There are no other sellers selling it. It’s custom. And, I am the only seller listed. Why this happens I have no idea. I decided I would try some ads to get some sales and history, etc. I spent several hours during research and setting up my ads yesterday for this new product. The ads said there were delivering. However, when I checked back a couple of hours later, I discovered that none of the ads were running because the products are not BUY BOX ELIGIBLE. I understand that when there is a commodity that others are selling the exact same model, etc that this scenario makes sense. But why does this happen with a custom product? The response from support was boilerplate and that I need to lower my price to win the buy box. I have a premium product that is different from low-end competitors. They also told me to use Facebook ads. Which I have done, but they are not effective because they are interruption marketing and not aligned with shoppers. So, I am looking to understand what I am doing wrong here. I have created a great product, optimized my listing and yet Amazon doesn’t want to advertise my product. Any advice or help would be appreciated. Thanks!",https://sellercentral.amazon.com/forums/t/custom-products-and-buy-box-frustrated-beyond-belief/447928
Variations Help?,Amazon Custom,Amazon Custom,"Good afternoon everyone. I currently have an etsy shop and am trying to move my products to Amazon. I do personalized gifts. Cutting boards are a big seller of mine and I offer three different sizes and three different types of wood. At this point I understand how to use variations to list these options. However I see some companies that are similar to mine list additional “optional” variations or add ons like a cutting board stand, gift wrapping, hand written note, cutting board oil. Things that the customer can select and incur an upcharge and I’m looking for some insight or direction on how to accomplish that. Thank you all for your time",https://sellercentral.amazon.com/forums/t/variations-help/447405
Returns for Custom Items?,Amazon Custom,Amazon Custom Forum,We have been selling non-personalized items for awhile now and we are just starting to get into the personalized jewelry (engraved etc). Are we allowed to set our own return policy (such as no returns accepted unless our error) or does Amazon require that we accept returns? I understand customers can open up A-Z claims but we would handle the situation before it got to that. Just want to set a standard based on Amazon’s rules.,https://sellercentral.amazon.com/forums/t/returns-for-custom-items/349737
Listing Items with Variations,Amazon Custom,Amazon Custom Forum,"Has anybody had luck listing items with variations? I have been granted UPC exemption, but some of my items have varying colors that customers need to decide. (i.e, Personalized Hockey Ornament. The customer selects the color of the ornament (I personally glittery the inside), then apply the hockey player (customer selects the color of the player), along with a name/number (customer selects these colors as well. I know I can do surface for the player/personalization color options. I have been working on getting these listings up for some time, and keep getting the same response from Amazon, that they are working on it. I am trying to do what they ask and not put the ornament color options as variations, but that may be my only option.",https://sellercentral.amazon.com/forums/t/listing-items-with-variations/418783
Custom Listings and Variations,Amazon Custom,Amazon Custom Forum,"We have a product that we would like to offer customization on. Is it possible to have that option as a variation- so basically our listing has the original appearance and then also an option to have a name added to it? If that is possible, how do we go about it? Do we need to make a parent listing and then have our original listing and the new custom option as child listings? Thanks for any help!!",https://sellercentral.amazon.com/forums/t/custom-listings-and-variations/442720
Bug in custom image upload,Amazon Custom,Amazon Custom Forum,"I created my first custom product, a variation, and have been testing it. ASIN is B07NWYZWC2. When I upload an image all is fine and I can stretch to fill my box. However, when I upload a second image that has a different aspect ratio (say first landscape then a portrait image), the second one gets stretched to the aspect ratio of the first image which makes it horribly distorted. Does Amazon respond to this forum or do I need to make a bug report somewhere else? David",https://sellercentral.amazon.com/forums/t/bug-in-custom-image-upload/444218
I tried to verify the account several times but still failed,Amazon Custom,Amazon Custom,"Dear Amazon, I tried to verify the account several times but still failed, I do not understand why this problem occurred and I have provided all the documents you requested but still failed. Let me know what I need to do to be approved. Can you help me?",https://sellercentral.amazon.com/forums/t/i-tried-to-verify-the-account-several-times-but-still-failed/443070
How do I see the image the customer uploaded while checking out?,Amazon Custom,Amazon Custom,"I got my first custom product order and I am trying to set it up for manufacture. However, I cannot see the image the customer uploaded in the order! How do I see it?",https://sellercentral.amazon.com/forums/t/how-do-i-see-the-image-the-customer-uploaded-while-checking-out/441873
Wrong color,Amazon Custom,Amazon Custom,"A customer bought a scooter advertised as red, box is showing a red scooter. The customer got pink, thinking was a mistake, ordered again and got pink. This happened at least 3 times. The customer email me because I also sell those scooters. I was sure my scooter was red, and when the customer got it, it was pink. What do i do?",https://sellercentral.amazon.com/forums/t/wrong-color/441798
Add size options on my customized item,Amazon Custom,Amazon Custom,"Can anyone tell me how best to offer different sizes as well as the customization text on my items? Currently I have separate items for each size, not a great way to do it. Thank you",https://sellercentral.amazon.com/forums/t/add-size-options-on-my-customized-item/441184
Phone Support not there for Indiv sellers,Amazon Custom,Amazon Custom Forum,Individual sellers don’t have Phone Support any more and it so happens that when emails are sent to Support those emails are not correctly understood. If there is an Individual seller here in this forum please help me to set up the new 10 dollar pay service to call Amazon or Amazon to call me . They have sent an email with Instructions BUT those instructions are not working Thank You,https://sellercentral.amazon.com/forums/t/phone-support-not-there-for-indiv-sellers/440153
Unable to attach proof photo files in message to buyer,Amazon Custom,Amazon Custom Forum,After receiving an order and filling it I use the Contact Buyer option to verify that their custom order has been printed just as they requested. I do this at the time of shipping to assure them that they are getting what they wanted. In order for this to work I add supporting photos and documents to the message via the ‘Add Attachments’ button. For the last day or so I have been able to contact the buyer as usual but the attachment button is not working. It really hinders the process. My computer OS recently updated and I had to fix a few default settings to smooth out communications but I can’t get past this problem. Anyone else having this issue? Thanks,https://sellercentral.amazon.com/forums/t/unable-to-attach-proof-photo-files-in-message-to-buyer/437864
Questions regarding approval to sell Custom,Amazon Custom,Amazon Custom,"Hi Guys, Newbie here and I don’t have a listing just yet. I want to apply to be able to start selling amazon custom. Here is the information i found on amazon which i have a few questions about (a quick thread search did not pull up any results). “You must be on a Professional selling plan. For more information, click here. All orders must be fulfilled by you. The program is not available for products that are fulfilled by Amazon. All Custom Products must be sold in New condition. Used listings are not permitted. For more information, see the Condition guidelines. Your listings must have compliant product images. For more information, see Product image requirements. To enable customization, you must be the only seller offering the product. If other sellers have existing offers on the product on Amazon, you’ll need to create your own unique listing to represent your customization capabilities. You are able to comply with our return policies. For details, review the Return Policy for customized products.” In seller central i am currently registered for FBA. The requirements state I can’t use FBA. Should I make changes to my seller central before applying so i dont get denied on that premises ? 2)I have not created my listing yet and another requirement states that the listing must have compliant product images. Should i do this before or after approval into amazon custom ?? ANY information regarding the process of getting approved (what it takes and how difficult it is) would be appreciated. I’d rather be proactive and make sure I can get approved easily. What do i need to do to ensure I will get approved for amazon custom ? Thanks in advance for answering my question.",https://sellercentral.amazon.com/forums/t/questions-regarding-approval-to-sell-custom/435067
I need help to remove hijackers from my live listing,Amazon Custom,Amazon Custom,"Hello, I NEED HELP TO REMOVE HIJACKERS FROM MY LIVE LISTING",https://sellercentral.amazon.com/forums/t/i-need-help-to-remove-hijackers-from-my-live-listing/434927
Custom | Tips and Tricks,Amazon Custom,Amazon Custom Forum,"Hi sellers, My name is Donovan, I’m with the Custom Team, I would like to create this thread to have a discussion on tips and tricks for your Custom Items Shop so we can all learn from each other. I’ll start, if you are selling image or text customizable items, the image file, text information, size, rotation, and position of each of the details will be reflected in an SVG file. The SVG represents a 3200x3200 perfect square which you can align to your 400x400 mask image to understand exactly what the customer saw when the order was placed. Since this 3200x3200 is really large, most of the times the image aligns in the center so we need to scroll down so we can see the info provided by the buyer, or we can just zoom out so we can see how the buyer will want the item to look like. Happy Holidays!",https://sellercentral.amazon.com/forums/t/custom-tips-and-tricks/434612
Can not edit my listing,Amazon Custom,Amazon Custom,"Hi, I am trying to update my listing tile for ASIN# B07H1LD471, but it failed . Please help to fix it. Thanks!/Catherine",https://sellercentral.amazon.com/forums/t/can-not-edit-my-listing/434302
Personalised Products - Choice Options & Importing Customer’s Designs,Amazon Custom,Amazon Custom Forum,"Hi, We would like to add more options to our personalised product listings we have on Amazon Seller. We’d like to increase the choice we can offer to customers to generate more sales. Some of the features we would like to offer customers are more font styles, text colours, and background colours to products. We would also like to be able to download the personalisation from each order so we can integrate it with our in-house creation software and make the products quickly so we can fulfill orders quicker for customers. I’ve asked Amazon if this information be provided in electronic format to download? We are open to have this information included with each order or provided separately. Are these features something other sellers would be interested in? Or does anyone know of any current functionality Amazon provide which can be used? I initially raised this with Amazon and they have taken my ideas on board as a suggestion, but no further. Thanks",https://sellercentral.amazon.com/forums/t/personalised-products-choice-options-importing-customers-designs/431890
Customers do not receive a receipt with info of the customizations they requested,Amazon Custom,Amazon Custom,I sell personalized items. Lately I had number of customers contact me concerned about the personalized text they requested. Apparently the order confirmation they receive does not include a copy of the customization they requested. Is there anything I can do to enable order confirmation to include a copy of the requested customization? Anyone else having the same problem?,https://sellercentral.amazon.com/forums/t/customers-do-not-receive-a-receipt-with-info-of-the-customizations-they-requested/430552
Brand Name vs Manufacturer Vital Info page,Amazon Custom,Amazon Custom,"I am a Handmade seller and just started listing a few items in Custom. When I fill out the Vital Info page the fields ask for “Product Name”, “Brand Name” and Manufacturer"". I fill in the Product Name field but then what do I enter in the Brand Name and Manufacturer fields? I have tried entering my business name but then it also appears in the Product Name at the beginning. I have no “brand” and I am the “manufacturer”. I realize this is confusing! Thank You.",https://sellercentral.amazon.com/forums/t/brand-name-vs-manufacturer-vital-info-page/428962
Only smaller images in Product Advertising API,Amazon Custom,Amazon Custom,"I’m working with the operation itemLookup using the Images parameter but in my products I have images of 1500x1500 but itemLookup only return images of 500x500 or smaller, how can I get the bigger images?",https://sellercentral.amazon.com/forums/t/only-smaller-images-in-product-advertising-api/426250
Cost/Benefit,Amazon Custom,Amazon Custom,I’m trying to determine if it is worth my time and energy to set up the custom product listings. Does anyone here see a large sales volume of custom products?,https://sellercentral.amazon.com/forums/t/cost-benefit/425912
AZ Claim Team Doesn’t Regard The Amazon Custom Return Policy,Amazon Custom,Amazon Custom Forum,Does the AZ team not know about the Amazon Custom Products Return policy? Why do they make decisions as though it doesn’t exist?,https://sellercentral.amazon.com/forums/t/az-claim-team-doesnt-regard-the-amazon-custom-return-policy/389247
How to block an “abusive” buyer？,Amazon Custom,Amazon Custom,"There is one abusive buyer who bought several same products within one year, and ask for refund or resend for almost every order. We have met his needs every time and now he ask for a resend from an order which has been refund for a year before. Is it possible to block or report this buyer? Thanks for any guidance that can be provided!",https://sellercentral.amazon.com/forums/t/how-to-block-an-abusive-buyer/425248
Amazon Custom Integration Development,Amazon Custom,Amazon Custom,"Hi All I am based in Ireland, selling into the UK - Amazon Custom is pretty new over here so I have signed up to a US account too in the hope that someone might be able to draw on their experience to help. I want to find a developer to put a system in place to (at the very least) send me all order info (including customizations) in a usable format and also to integrate with courier systems (initially Royal Mail). Can you offer advice / recommendations? @keyslife I hope you don’t mind me mentioning you, but from an old post of yours in a now closed thread I think you might have some knowledge in this area…? thanks in advance Karen",https://sellercentral.amazon.com/forums/t/amazon-custom-integration-development/411179
How can I download my custom feed?,Amazon Custom,Amazon Custom Forum,"Hi there! I sell using Amazon Custom. Generally I create one item on-site, and then copy the information (x and y axis, width & height, character limit, etc.) from the one item into the spreadsheet (Amazon Custom Feed Template), and then copy it for my remaining items. This works well, because my items are essentially the same. Today I created an item that I used options on, as opposed to just “fill in the blank” text fields. So, with that, I am not sure how to copy the information from the new listing into the template - for bulk upload. Is there any way to download that item, so I can see how the formatting should be for options? Currently I only know the formatting for text fields. Any help would be greatly appreciated! I put a help ticket in, but in my experience, help with custom items is usually really slow. Thanks! Jeanne",https://sellercentral.amazon.com/forums/t/how-can-i-download-my-custom-feed/422709
Amazon reply expected,Amazon Custom,Amazon Custom,Amazon not replying,https://sellercentral.amazon.com/forums/t/amazon-reply-expected/425048
Customization options,Amazon Custom,Amazon Custom,"Hi I am setting up a new custom products and can only enter 5 text lines, but I have six. Any ideas? Thanks!",https://sellercentral.amazon.com/forums/t/customization-options/424189
Custom quandry,Amazon Custom,Amazon Custom Forum,"Buyer orders personalized item. Enters the date to be printed as “september 29, 2018”. If I change it to a capital letter, he can return it. If I don’t change it, he can want to return it, but I wouldn’t allow it. And of course, he does not return my messages. Ideas? Do I call him? Thanks.",https://sellercentral.amazon.com/forums/t/custom-quandry/418863
"How do I reach amazon to correct item pages, no response on case created 2 days ago. Is there a phone number I can call?",Amazon Custom,Amazon Custom,How to contact amazon by phone,https://sellercentral.amazon.com/forums/t/how-do-i-reach-amazon-to-correct-item-pages-no-response-on-case-created-2-days-ago-is-there-a-phone-number-i-can-call/423386
Custom surfaces upload template file. Please help,Amazon Custom,Amazon Custom Forum,I am trying to utilize the excel file for custom products but it only shows 1 surface in the template file. My products have 2 to 3 surfaces. How do I add more surfaces in the template file for one sku? Is there any other examples out there? Thanks!,https://sellercentral.amazon.com/forums/t/custom-surfaces-upload-template-file-please-help/405118
Custom Order Change Request,Amazon Custom,Amazon Custom Forum,"A buyer placed a custom order and then shortly afterwards, sent a request to change the customization. I’m worried this might leave me open to an A-Z claim as the item received won’t match the original order. How best to proceed?",https://sellercentral.amazon.com/forums/t/custom-order-change-request/410868
Vas orders?,Amazon Custom,Amazon Custom Forum,Does anyone know what a VAS ORDER is or a MFN PREPAID ORDER IS,https://sellercentral.amazon.com/forums/t/vas-orders/420325
Selling Custom,Amazon Custom,Amazon Custom Forum,"Hi everyone, I work for a company that makes custom booths for other people and companies, my company would like to branch out into amazon but I’m running into some trouble. Most of our products are completely can be customized in any way the client wants so often we don’t have a set price on a product because it can vary, is there any way to list a product and have a customer request a quote or have a product listed with a variable price? My other issue is amazon requesting product ID’s which my company does not have because the product is manufactured in the United States and shipped directly to the customer usually. Is there any way to get around listing product IDs on variants? I understand that amazon does not typically cater to a seller like my company but I was hoping there might be some way to work with it.",https://sellercentral.amazon.com/forums/t/selling-custom/406212
Sponsored Product campaign question,Amazon Custom,Amazon Custom,I have 1 listing in Amazon Custom and I set up a Sponsored Product ad campaign for it yesterday. I am trying to find out if the ad will display on pages in the “regular” Marketplace or only on pages in Amazon Custom? All of my other listings are in Handmade and it appears that they are only displayed in the Handmade side. Thank you!,https://sellercentral.amazon.com/forums/t/sponsored-product-campaign-question/418569
Custom made buyer wants refund,Amazon Custom,Amazon Custom,"Hi these purchases are not refundable unless we make an error in the personalizing. Buyer wants refund because he thinks the blanket is too thin. In addition he sends me “God” information which I really dislike. Ok, back to refund. Do I just refund him which leaves the door open to returning these for anyone?",https://sellercentral.amazon.com/forums/t/custom-made-buyer-wants-refund/418243
"UPC Exemption, Support Letter",Amazon Custom,Amazon Custom Forum,"I have sent the Amazon Support Letter to several of my manufacturer/Brand Owners for them to complete and return. Has anyone had luck getting items listed without these? When I have called to find out who I needed to send the letter to, they act like they have no clue what I am talking about. Thanks!",https://sellercentral.amazon.com/forums/t/upc-exemption-support-letter/416394
Does Amazon Custom work on Amazon Handmade?,Amazon Custom,Amazon Custom,Can I use Amazon Custom options through my listings on Amazon Handmade? Or does Amazon Custom only work if selling through Amazon.com 2? Thanks.,https://sellercentral.amazon.com/forums/t/does-amazon-custom-work-on-amazon-handmade/415566
Amazon Custom - UPC already in use for non custom version - what now,Amazon Custom,Amazon Custom,There is a Zippo lighter listed in the catalog with many sellers. We provide engraving for this product as an added service. I would like to create an Amazon custom listing for this product but I am unable as I am told the UPC is already associated with a product in the catalog. What is the best practice for dealing with this to create a custom listing?,https://sellercentral.amazon.com/forums/t/amazon-custom-upc-already-in-use-for-non-custom-version-what-now/414676
Online support,Amazon Custom,Amazon Custom Forum,What happened to online support? Trying to contact about 15 minutes ???,https://sellercentral.amazon.com/forums/t/online-support/411615
Products not available and disabled for custom,Amazon Custom,Amazon Custom,I uploaded 2 products on a new seller account yesterday. The products both say active but when I look at the product page it says they are “currently unavailable”. It also says the custom option is disabled. Any advice on how to fix this?,https://sellercentral.amazon.com/forums/t/products-not-available-and-disabled-for-custom/410698
Policy Enforcement for items having prohibited main images,Amazon Custom,Amazon Custom,"I have been wondering about the “Policy Enforcement for items having prohibited main images”, and how this pertains to Amazon Custom listings. One of the criteria states that we cannot have: Image with any text, logo, graphic, or watermarks shown We have sample text on the main item photo so that a customer can see what the engraving will look like. Should we change this, and simply make the main image a blank product? Just looking for insight from my fellow Amazon Custom friends…",https://sellercentral.amazon.com/forums/t/policy-enforcement-for-items-having-prohibited-main-images/411111
Custom Spreadsheet Font URL?,Amazon Custom,Amazon Custom,"Just wondering how to get a URL for your Custom category spreadsheet for different Fonts? Example Lucida or Script? How do I incorporate this in the custom Spreadsheet, where to get the URL for multiple fonts?",https://sellercentral.amazon.com/forums/t/custom-spreadsheet-font-url/395424
Customizable Length and Width,Amazon Custom,Amazon Custom Forum,"Hello! We have been selling on Amazon for over three years now. We currently have almost 5000 listings based on the length and width of the items we carry. We were wondering if it would be possible consolidate our catalog by creating a listings with two different drop down boxes populated with pre-set options, one for length, one for width. We operate mainly in the Home and Decor category. If anyone has any advice on how to set this up or something similar, we would be immensely grateful! Thanks",https://sellercentral.amazon.com/forums/t/customizable-length-and-width/408861
"Brand Registry, Trademarks, & items without GTINS",Amazon Custom,Amazon Custom Forum,"I have been selling on Amazon custom since it first started, and had been able to register my brand so that I could receive a GTIN exemption which enabled me to list my personalized items that do not have GTINs or UPCs. This week I received an email from Amazon which states: “We will deprecate the prior version of Amazon Brand Registry on May 31, 2018, which may lead to a decreased authority over product listings on Amazon with your brand name and the removal of your ability to list products on Amazon without GTINs, UPCs, or EANs. If you are a seller who enrolled a brand in Amazon Brand Registry prior to May 2017, you must re-enroll your brand in the new version of Amazon Brand Registry to avoid any disruption in service.” However, in order to enroll in the new brand registry, you have to have a registered trademark, which can take up to a year to obtain! I am not sure how this is going to affect my sales of my personalized products in Custom. Does it mean they aren’t going to show up as much, or that I won’t be able to list new items? Do I have to apply for a trademark and enroll in the brand registry in order to keep getting GTIN exemptions? I looked into buying UPCs, but I have a lot of items and the legitimate ones through GS-1 would cost thousands of dollars which is way beyond the means of my small business. So I guess my question is can I still get a GTIN exemption to sell in Custom if I have to wait a year to get a trademark so that I can enroll in the new brand registry? And what will happen to my current listings when they make this change at the end of May? Thanks for any advice!",https://sellercentral.amazon.com/forums/t/brand-registry-trademarks-items-without-gtins/399223
Customization Information,Amazon Custom,Amazon Custom Forum,"Does anyone include a snippet or screenshot of the Customization Information screen with their order? I’ve found some customers have made typo’s on their order and then claim the item is not as described. I think it might be helpful not only for order fulfillment, but also for the customer to see that the order as made exactly as ordered. I briefly tested Microsoft’s Snipping Tool and it seems to work fine for this purpose. I don’t like that the small thumbnail of the customization image can be shown full size only on hover, so its hard to get a snippet of that one. The other customization image has the white boxes around the fields that can be customized, which is a bit detracting. Is anyone else doing this and have you found it helpful?",https://sellercentral.amazon.com/forums/t/customization-information/408899
Multiple Stores Under 1 Seller Account,Amazon Custom,Amazon Custom,"I work for a company that has multiple online stores. We already have an amazon seller account and custom shop for one of the stores, but I was curious if we could have a second custom store using the same seller account? Thanks!",https://sellercentral.amazon.com/forums/t/multiple-stores-under-1-seller-account/406243
Uploading photos via Mobile,Amazon Custom,Amazon Custom,Hi the customization feature doesn’t work with mobile devices (uploading photos) is anyone having the same issue ? this is a big problem for custom sellers!!!,https://sellercentral.amazon.com/forums/t/uploading-photos-via-mobile/388329
Custom headache,Amazon Custom,Amazon Custom,"I sell many different products along with customized products and gifts. I received an order yesterday at 5pm Pacific. The buyer now wants to cancel. Here is my answer to her, and I’d like your opinions before I send this to her. Thank you. ""Hi I just looked at your order from yesterday. There was an error in the form you filled out so you sent me correct information this am. I sent you an image proof, and you pointed out a second error in your form. Therefore, you received a second proof which you approved. The product was then sent into production. You then told me you had a specific date that you need to receive it. According to the order you placed, this is not due to be shipped until next Tuesday. I do offer expedited ordering, but that option was not chosen. I’m sure you’ll receive this on time, but I cannot control shipping services or acts of nature. Thank you again.""",https://sellercentral.amazon.com/forums/t/custom-headache/405827
How to validate IP claim for authenticity?,Amazon Custom,Amazon Custom Forum,"Received an inquiry in messages on my Amazon Seller Central account, from someone called IP Shark regarding a product listed. I am one of three sellers, I’m the only FBA. This was not my listing originally. The sender claims to represent the manufacturer in pursuit of authenticating products being listed for sale. They claim they have been unable to verify that the product being sold meets the quality and regulatory standards required by the manufacturer. I purchased the item from one of the big box stores. The sender wants my invoice, source of purchase and my account details. I have all of the info but I am wondering how do I know that this request is authentic. Could it not be another seller trying to find my sourcing information? Do we as sellers simply respond to these requests?",https://sellercentral.amazon.com/forums/t/how-to-validate-ip-claim-for-authenticity/405620
